ID,SignupDate,Segment
1,2025-04-13,Free
2,2025-06-29,Family
3,2025-04-03,Family
4,2025-01-15,Free
5,2025-04-17,Free
6,2025-03-13,Free
7,2025-01-21,Premium
8,2025-04-13,Premium
9,2025-05-02,Premium
10,2025-03-16,Corporate
11,2025-03-29,Premium
12,2025-04-27,Free
13,2025-04-10,Free
14,2025-04-14,Free
15,2025-06-01,Free
16,2025-05-11,Premium
17,2025-05-30,Family
18,2025-02-22,Free
19,2025-01-02,Premium
20,2025-03-29,Premium
21,2025-06-07,Free
22,2025-02-07,Free
23,2025-05-10,Free
24,2025-01-21,Free
25,2025-06-10,Corporate
26,2025-02-27,Free
27,2025-01-22,Free
28,2025-03-30,Free
29,2025-02-18,Corporate
30,2025-02-28,Free
31,2025-06-19,Free
32,2025-01-15,Free
33,2025-06-24,Free
34,2025-02-20,Free
35,2025-04-18,Premium
36,2025-02-24,Free
37,2025-03-05,Free
38,2025-05-11,Family
39,2025-02-20,Free
40,2025-05-15,Free
41,2025-01-21,Free
42,2025-03-14,Corporate
43,2025-06-16,Free
44,2025-01-18,Family
45,2025-05-12,Premium
46,2025-03-30,Free
47,2025-03-01,Corporate
48,2025-01-14,Free
49,2025-01-09,Free
50,2025-03-31,Family
51,2025-02-22,Premium
52,2025-05-10,Premium
53,2025-03-25,Free
54,2025-04-02,Free
55,2025-04-21,Premium
56,2025-06-21,Free
57,2025-01-08,Free
58,2025-06-24,Free
59,2025-02-04,Free
60,2025-03-22,Family
61,2025-06-13,Free
62,2025-02-19,Corporate
63,2025-04-14,Free
64,2025-05-12,Premium
65,2025-01-02,Free
66,2025-05-14,Free
67,2025-02-23,Free
68,2025-04-16,Free
69,2025-01-04,Free
70,2025-02-23,Corporate
71,2025-05-26,Premium
72,2025-02-13,Free
73,2025-06-11,Free
74,2025-01-14,Free
75,2025-04-05,Premium
76,2025-02-17,Premium
77,2025-01-15,Corporate
78,2025-02-09,Free
79,2025-03-23,Free
80,2025-04-21,Free
81,2025-02-22,Premium
82,2025-01-24,Premium
83,2025-06-03,Premium
84,2025-05-04,Premium
85,2025-02-10,Free
86,2025-06-06,Premium
87,2025-01-15,Free
88,2025-02-14,Premium
89,2025-03-06,Free
90,2025-03-30,Free
91,2025-03-12,Family
92,2025-01-09,Family
93,2025-03-29,Family
94,2025-05-09,Free
95,2025-05-16,Premium
96,2025-03-04,Free
97,2025-05-19,Family
98,2025-03-22,Free
99,2025-05-16,Corporate
100,2025-06-12,Corporate
101,2025-06-12,Premium
102,2025-02-02,Free
103,2025-05-03,Free
104,2025-01-05,Family
105,2025-02-10,Free
106,2025-01-28,Family
107,2025-05-15,Free
108,2025-03-13,Free
109,2025-01-12,Family
110,2025-06-11,Premium
111,2025-02-02,Premium
112,2025-02-17,Premium
113,2025-05-31,Free
114,2025-03-03,Premium
115,2025-02-06,Free
116,2025-04-09,Corporate
117,2025-06-21,Family
118,2025-04-14,Free
119,2025-02-04,Premium
120,2025-04-11,Premium
121,2025-06-24,Free
122,2025-05-11,Corporate
123,2025-01-01,Free
124,2025-01-05,Free
125,2025-05-22,Free
126,2025-04-13,Free
127,2025-01-27,Premium
128,2025-05-17,Premium
129,2025-01-15,Premium
130,2025-03-31,Premium
131,2025-02-11,Free
132,2025-05-04,Free
133,2025-06-28,Free
134,2025-03-04,Free
135,2025-04-06,Premium
136,2025-02-21,Free
137,2025-04-06,Free
138,2025-05-12,Free
139,2025-05-31,Corporate
140,2025-05-23,Corporate
141,2025-06-20,Premium
142,2025-01-29,Corporate
143,2025-02-05,Premium
144,2025-01-13,Premium
145,2025-06-09,Free
146,2025-03-12,Premium
147,2025-03-27,Premium
148,2025-01-28,Premium
149,2025-03-07,Premium
150,2025-06-19,Free
151,2025-02-14,Premium
152,2025-03-03,Corporate
153,2025-05-14,Free
154,2025-01-28,Premium
155,2025-01-28,Free
156,2025-04-18,Premium
157,2025-02-13,Premium
158,2025-03-25,Free
159,2025-01-30,Premium
160,2025-03-16,Free
161,2025-05-08,Premium
162,2025-04-02,Free
163,2025-05-09,Premium
164,2025-05-01,Free
165,2025-01-27,Premium
166,2025-05-01,Free
167,2025-04-26,Family
168,2025-01-03,Corporate
169,2025-04-13,Corporate
170,2025-06-04,Premium
171,2025-05-17,Premium
172,2025-03-03,Free
173,2025-06-14,Free
174,2025-02-20,Free
175,2025-06-21,Premium
176,2025-06-01,Family
177,2025-02-28,Free
178,2025-04-28,Corporate
179,2025-06-09,Premium
180,2025-04-06,Premium
181,2025-06-29,Free
182,2025-04-23,Free
183,2025-03-03,Premium
184,2025-02-21,Premium
185,2025-01-12,Free
186,2025-02-08,Premium
187,2025-05-10,Family
188,2025-05-11,Family
189,2025-04-23,Corporate
190,2025-04-11,Free
191,2025-04-23,Free
192,2025-03-22,Premium
193,2025-04-23,Free
194,2025-01-02,Free
195,2025-05-10,Free
196,2025-02-23,Free
197,2025-03-28,Free
198,2025-05-09,Free
199,2025-05-27,Free
200,2025-05-06,Free
201,2025-05-10,Premium
202,2025-02-22,Premium
203,2025-06-21,Premium
204,2025-06-09,Free
205,2025-06-09,Free
206,2025-03-09,Premium
207,2025-05-03,Premium
208,2025-05-25,Free
209,2025-02-07,Free
210,2025-01-24,Family
211,2025-03-10,Free
212,2025-04-26,Free
213,2025-04-08,Premium
214,2025-05-19,Free
215,2025-05-24,Free
216,2025-04-07,Free
217,2025-05-04,Premium
218,2025-03-11,Free
219,2025-04-03,Free
220,2025-01-03,Free
221,2025-05-28,Family
222,2025-06-13,Free
223,2025-05-27,Corporate
224,2025-03-31,Free
225,2025-05-27,Corporate
226,2025-05-28,Corporate
227,2025-04-06,Free
228,2025-02-21,Free
229,2025-06-10,Free
230,2025-06-17,Free
231,2025-05-08,Premium
232,2025-02-08,Free
233,2025-03-23,Free
234,2025-04-14,Free
235,2025-05-09,Family
236,2025-01-11,Free
237,2025-06-27,Free
238,2025-05-31,Free
239,2025-06-08,Family
240,2025-02-11,Premium
241,2025-04-09,Free
242,2025-01-07,Free
243,2025-05-24,Free
244,2025-03-31,Free
245,2025-04-22,Corporate
246,2025-03-01,Premium
247,2025-04-23,Free
248,2025-01-02,Family
249,2025-05-09,Free
250,2025-02-17,Premium
251,2025-05-20,Family
252,2025-02-06,Free
253,2025-06-09,Premium
254,2025-01-09,Free
255,2025-04-09,Free
256,2025-05-27,Free
257,2025-02-17,Free
258,2025-05-11,Premium
259,2025-05-28,Corporate
260,2025-06-01,Premium
261,2025-02-23,Family
262,2025-04-30,Family
263,2025-06-10,Free
264,2025-06-01,Free
265,2025-04-26,Free
266,2025-03-16,Premium
267,2025-04-23,Corporate
268,2025-06-13,Free
269,2025-06-15,Premium
270,2025-04-14,Premium
271,2025-03-25,Premium
272,2025-04-22,Free
273,2025-04-09,Free
274,2025-06-02,Free
275,2025-04-03,Free
276,2025-05-26,Free
277,2025-05-08,Premium
278,2025-04-20,Free
279,2025-03-23,Family
280,2025-02-23,Free
281,2025-06-12,Premium
282,2025-06-18,Free
283,2025-06-10,Premium
284,2025-03-09,Corporate
285,2025-02-02,Free
286,2025-05-22,Free
287,2025-01-21,Premium
288,2025-02-17,Free
289,2025-05-28,Free
290,2025-05-08,Free
291,2025-05-16,Free
292,2025-05-15,Premium
293,2025-05-25,Free
294,2025-05-08,Family
295,2025-02-02,Premium
296,2025-06-25,Premium
297,2025-04-25,Premium
298,2025-04-29,Family
299,2025-01-22,Free
300,2025-06-07,Family
301,2025-02-07,Premium
302,2025-04-19,Premium
303,2025-02-20,Premium
304,2025-01-08,Free
305,2025-01-27,Free
306,2025-01-27,Premium
307,2025-01-21,Free
308,2025-01-30,Premium
309,2025-04-07,Free
310,2025-01-28,Free
311,2025-04-21,Free
312,2025-03-02,Free
313,2025-02-17,Free
314,2025-05-27,Free
315,2025-01-04,Corporate
316,2025-02-04,Premium
317,2025-02-18,Free
318,2025-01-17,Premium
319,2025-06-21,Family
320,2025-06-07,Premium
321,2025-02-15,Free
322,2025-04-27,Family
323,2025-01-06,Premium
324,2025-04-09,Free
325,2025-05-04,Free
326,2025-02-06,Premium
327,2025-01-24,Free
328,2025-04-03,Family
329,2025-02-15,Free
